,x,y,z,MaximumInscribedSphereRadius,CenterlineIds,TractIds,Blanking,GroupIds
234,131.5245361328125,74.47256469726562,-250.51927185058594,1.411551791581775,22,10,0,68
235,109.0776596069336,46.446983337402344,-253.3604736328125,2.2209562935286984,23,10,0,69
236,110.5419692993164,45.601539611816406,-254.38914489746094,2.207554962517981,23,10,0,69
237,111.03485870361328,43.64545822143555,-255.55274963378906,2.097073561687703,23,12,0,71
238,110.81082153320312,40.49528884887695,-256.9971923828125,1.9363178284128253,23,12,0,71
239,110.52605438232422,37.38833999633789,-258.52642822265625,1.9505183183245176,23,12,0,71
240,110.18360137939453,34.265647888183594,-260.01617431640625,1.9580244650342378,23,12,0,71
241,77.88552856445312,70.30298614501953,-249.41087341308594,2.0352440488191186,24,10,0,72
242,76.00537109375,72.78840637207031,-248.6239471435547,1.8602868547317852,24,10,0,72
243,74.05174255371094,75.32051086425781,-248.2255401611328,1.64301193429768,24,10,0,72
244,71.94819641113281,77.73770141601562,-247.8344268798828,1.660968777744329,24,10,0,72
245,69.8541030883789,80.14672088623047,-247.3493194580078,1.6641094080252672,24,10,0,72
246,67.76890563964844,82.55435943603516,-246.87371826171875,1.6507460430341703,24,10,0,72
247,47.96755599975586,62.45137405395508,-257.6205139160156,2.1131783828418578,25,12,0,75
248,45.651466369628906,64.89595031738281,-257.9263610839844,1.90415432693068,25,12,0,75
249,43.19620895385742,67.21051025390625,-257.5862121582031,1.8969601984516207,25,12,0,75
250,40.820186614990234,69.61528778076172,-257.3083190917969,1.9122909676768924,25,12,0,75
251,38.41468811035156,72.00218200683594,-257.06903076171875,1.9028845023663372,25,12,0,75
252,112.70553588867188,45.6844596862793,-255.361328125,1.9757725002013131,26,12,0,76
253,115.78404998779297,45.832881927490234,-256.6585388183594,1.3514654862842304,26,12,0,76
254,118.77665710449219,46.154876708984375,-258.1038818359375,1.3181176144771296,26,12,0,76
255,121.8028335571289,46.39396667480469,-259.4890441894531,1.3397948503230082,26,12,0,76
256,124.82024383544922,46.62289047241211,-260.924072265625,1.3154790894311403,26,12,0,76
257,101.5663070678711,8.403834342956543,-202.49884033203125,7.7786769164770835,27,2,0,77
258,101.33039093017578,6.483476638793945,-204.93865966796875,7.398848251999857,27,2,0,77
259,100.54906463623047,4.696029186248779,-207.3685302734375,7.288379598665978,27,2,0,77
260,99.93489837646484,3.0713534355163574,-209.9499969482422,7.204310871492472,27,2,0,77
261,99.5588607788086,1.639600396156311,-212.6820526123047,7.104317080845296,27,2,0,77
262,99.78239440917969,-0.007406602613627911,-215.3141632080078,6.835299571367085,27,2,0,77
263,100.25263977050781,-1.3704311847686768,-218.06961059570312,6.890982371485354,27,2,0,77
264,100.51473999023438,-3.2335081100463867,-220.55429077148438,6.620962055970175,27,2,0,77
265,100.42425537109375,-5.067480564117432,-223.0696258544922,6.44859022805032,27,2,0,77
266,100.21472930908203,-7.049506664276123,-225.46131896972656,6.239633343916404,27,2,0,77
267,99.73929595947266,-9.310540199279785,-227.54660034179688,6.023980875132927,27,2,0,77
268,99.64258575439453,-11.68974781036377,-229.5502471923828,5.741902684070819,27,2,0,77
269,99.52745056152344,-14.04409408569336,-231.59341430664062,5.830544351783593,27,2,0,77
270,99.35008239746094,-16.381832122802734,-233.6260986328125,5.9920225362301265,27,2,0,77
271,99.09130859375,-18.85908317565918,-235.49185180664062,6.0426935683596685,27,2,0,77
272,98.80204772949219,-21.397085189819336,-237.25201416015625,6.318125841928735,27,2,0,77
273,98.23517608642578,-24.03845977783203,-238.77200317382812,6.536519456905199,27,2,0,77
274,97.64520263671875,-26.788204193115234,-239.92759704589844,6.558509046095195,27,2,0,77
275,98.49410247802734,-31.8730411529541,-245.11380004882812,5.833730986592838,27,4,0,79
276,99.81254577636719,-35.14040756225586,-248.31936645507812,5.905352677453628,27,4,0,79
277,98.7052230834961,-38.34137725830078,-252.96189880371094,5.372761214372845,27,6,0,105
278,98.04462432861328,-39.915611267089844,-255.84408569335938,5.116828959011884,27,6,0,105
279,97.56932067871094,-41.161441802978516,-258.9239501953125,4.936757569276677,27,6,0,105
280,97.1686782836914,-42.452964782714844,-261.97393798828125,4.828774295447643,27,6,0,105
281,96.76647186279297,-44.01755142211914,-264.8658142089844,4.628830250856499,27,6,0,105
282,92.89525604248047,-47.84035873413086,-266.1097412109375,4.016201852119052,27,8,0,81
283,91.09089660644531,-49.91384506225586,-268.6368103027344,3.5767753273856098,27,8,0,81
284,89.39581298828125,-52.07604217529297,-271.0625305175781,2.976535935708073,27,8,0,81
285,86.91395568847656,-52.618309020996094,-273.3426208496094,2.6253180232991022,27,10,0,83
286,84.79623413085938,-54.01057815551758,-276.3905944824219,2.3715725617958174,27,10,0,83
287,82.92628479003906,-55.626041412353516,-279.5179138183594,2.21075507557862,27,10,0,83
288,81.05602264404297,-57.15053176879883,-282.6979675292969,2.214173467037451,27,10,0,83
289,99.11471557617188,-45.87008285522461,-273.126708984375,3.849660963669691,28,8,0,84
290,101.0389633178711,-46.65299987792969,-277.05255126953125,3.5696286247476756,28,8,0,84
291,101.42662048339844,-47.02168273925781,-280.3011474609375,3.4649533980904463,28,10,0,86
292,101.73558807373047,-47.148223876953125,-284.102783203125,3.2521163631109076,28,10,0,86
293,102.09397888183594,-47.31182098388672,-287.8946838378906,3.474871079631029,28,10,0,86
294,102.89753723144531,-47.673011779785156,-291.5657043457031,3.9800943999292433,28,10,0,86
295,103.77252960205078,-46.030086517333984,-295.4486999511719,2.978177655573861,28,12,0,88
296,104.23280334472656,-44.40276336669922,-298.1690979003906,2.3445471776574958,28,12,0,88
297,104.36214447021484,-43.36710739135742,-301.2004089355469,1.939415355791537,28,12,0,88
298,103.97604370117188,-42.366661071777344,-304.2126159667969,2.1147934428488147,28,12,0,88
299,103.44205474853516,-41.439231872558594,-307.238037109375,2.111824972921302,28,12,0,88
300,104.64311981201172,-38.302276611328125,-250.06602478027344,4.462514139866095,29,6,0,89
301,106.97782897949219,-39.64842224121094,-250.3417510986328,4.104468626715185,29,6,0,89
302,109.96316528320312,-41.98899459838867,-248.65664672851562,3.8155978102909085,29,8,0,91
303,111.14106750488281,-43.011070251464844,-247.4400177001953,3.5161183214268004,29,8,0,91
304,112.86112976074219,-46.004905700683594,-246.33839416503906,2.8354312885762165,29,10,0,93
305,114.60800170898438,-49.24732971191406,-245.99417114257812,2.180420737094046,29,10,0,93
306,116.16348266601562,-50.97466278076172,-245.26834106445312,1.923924751639369,29,12,0,95
307,118.35403442382812,-53.05236053466797,-244.47152709960938,2.1120904760664994,29,12,0,95
308,119.96844482421875,-55.103755950927734,-242.72706604003906,1.427529189608097,29,12,0,95
309,121.84552001953125,-57.015010833740234,-241.0574188232422,1.3278464513784707,29,12,0,95
310,123.71087646484375,-58.89226531982422,-239.334228515625,1.3233894089140779,29,12,0,95
311,125.58345031738281,-60.82205581665039,-237.67327880859375,1.3418989379031756,29,12,0,95
312,106.22764587402344,-48.961936950683594,-294.3598937988281,2.737060766732908,30,12,0,96
313,108.46825408935547,-50.02033615112305,-296.88507080078125,2.2209595709640464,30,12,0,96
314,110.67472839355469,-51.02871322631836,-299.4671630859375,1.7686840978548126,30,12,0,96
315,112.49959564208984,-51.796634674072266,-302.417236328125,1.4799851087254745,30,12,0,96
316,114.36456298828125,-52.6336669921875,-305.3222351074219,1.4868726048346612,30,12,0,96
317,116.28013610839844,-53.480716705322266,-308.19635009765625,1.5116453133859946,30,12,0,96
318,89.00020599365234,-55.0679931640625,-271.9615478515625,2.5849830048132447,31,10,0,97
319,88.33723449707031,-58.87358856201172,-272.9553527832031,2.2317069799615994,31,10,0,97
320,87.56198120117188,-62.72385787963867,-273.5463562011719,2.2860969335599863,31,10,0,97
321,85.96957397460938,-66.28343200683594,-274.388427734375,2.1363772644231864,31,10,0,97
322,113.75409698486328,-42.579071044921875,-244.81292724609375,2.8528251808506213,32,10,0,98
323,116.47529602050781,-42.51797103881836,-242.63336181640625,2.267236399479162,32,10,0,98
324,119.57025146484375,-43.17265319824219,-241.15269470214844,2.0312708612051975,32,10,0,98
325,122.68441009521484,-44.08058166503906,-239.8278045654297,1.9829606499834285,32,10,0,98
326,125.82027435302734,-44.91767501831055,-238.51316833496094,1.9853226125332777,32,10,0,98
327,128.98175048828125,-45.726165771484375,-237.23135375976562,1.9780716502443891,32,10,0,98
328,115.0767593383789,-51.05291748046875,-247.14111328125,2.1077328390976255,33,12,0,99
329,115.83549499511719,-54.030784606933594,-248.4251708984375,1.8904938065904866,33,12,0,99
330,115.3127212524414,-56.965057373046875,-249.9504852294922,1.5645306655660778,33,12,0,99
331,114.89191436767578,-59.87548828125,-251.55979919433594,1.5591799691767483,33,12,0,99
332,114.50674438476562,-62.809364318847656,-253.13482666015625,1.5582063429986137,33,12,0,99
333,95.35549926757812,-48.84172058105469,-272.42083740234375,3.5009807838438354,34,8,0,100
334,94.73384094238281,-50.58134460449219,-275.14886474609375,3.058897416573402,34,8,0,100
335,94.37882232666016,-52.632484436035156,-277.6925964355469,3.035415422775645,34,8,0,100
336,94.26167297363281,-54.93255615234375,-279.9881896972656,3.0227264387469974,34,8,0,100
337,95.68170166015625,-57.90397644042969,-280.8409118652344,2.7150100798608925,34,10,0,102
338,96.8480224609375,-60.74721145629883,-281.6348571777344,2.1820987268513634,34,10,0,102
339,97.54307556152344,-63.5711784362793,-282.9292907714844,1.5581951470243292,34,10,0,102
340,98.67267608642578,-66.33965301513672,-283.9997253417969,1.6963555407094058,34,10,0,102
341,99.98702239990234,-69.0437240600586,-285.06866455078125,1.7111987023777806,34,10,0,102
342,104.10466003417969,-48.850406646728516,-278.31610107421875,2.296634180632323,35,10,0,103
343,105.95649719238281,-51.41594314575195,-278.7862548828125,2.0825720234086673,35,10,0,103
344,107.98971557617188,-53.843482971191406,-279.1976623535156,2.1226947927064868,35,10,0,103
345,110.1474838256836,-56.17823028564453,-279.5643310546875,2.121263443215873,35,10,0,103
346,112.2943115234375,-58.52055358886719,-279.9527587890625,2.1235284041975038,35,10,0,103
347,93.34091186523438,-56.19267272949219,-282.70074462890625,2.9032579019831335,36,10,0,104
348,92.36095428466797,-57.62675476074219,-285.58416748046875,2.6918179368312805,36,10,0,104
349,91.01046752929688,-58.852149963378906,-288.46612548828125,2.717163187208037,36,10,0,104
350,90.0177001953125,-60.68348693847656,-291.1342468261719,2.7752090665527027,36,10,0,104
351,89.17510986328125,-62.96022415161133,-293.53887939453125,2.8148272186117262,36,10,0,104
352,101.79420471191406,-49.25492477416992,-295.7380676269531,2.8442515943724334,37,12,0,107
353,101.36186218261719,-50.99858474731445,-298.9449462890625,2.5228597061870124,37,12,0,107
354,101.2986068725586,-52.63345718383789,-302.2598876953125,2.3023198601602397,37,12,0,107
355,101.4431381225586,-54.35009002685547,-305.5336608886719,2.3340179394492018,37,12,0,107
356,101.67527770996094,-56.099124908447266,-308.7847900390625,2.3316043713489196,37,12,0,107
357,110.67442321777344,-39.56451416015625,-252.849365234375,2.8167798520022607,38,8,0,108
358,112.6214370727539,-38.90788650512695,-255.052734375,2.3793905251827723,38,8,0,108
359,114.19486999511719,-38.1655387878418,-257.506103515625,2.3738719148684817,38,8,0,108
360,115.71281433105469,-37.49174118041992,-260.0182800292969,2.384468883613181,38,8,0,108
361,117.30472564697266,-36.94051742553711,-262.5212097167969,2.3993340911264314,38,8,0,108
362,95.47657775878906,46.60403823852539,-255.90017700195312,5.08683469465212,39,6,0,109
363,94.6164779663086,48.6527214050293,-260.42596435546875,4.8318663095458785,39,6,0,109
364,93.983154296875,51.35921859741211,-265.2294616699219,4.713207110710071,39,8,0,111
365,94.10831451416016,52.59002685546875,-267.9695739746094,4.846054181705686,39,8,0,111
366,91.00051879882812,59.08863067626953,-273.9984130859375,3.153737563577794,39,10,0,112
367,90.1168212890625,62.6472053527832,-275.9834289550781,2.9928144429639074,39,10,0,112
368,88.59082794189453,64.39344024658203,-277.8963928222656,2.8182304894124464,39,12,0,114
369,86.89378356933594,66.81436157226562,-279.78045654296875,2.551645352255362,39,12,0,114
370,85.04203796386719,69.27680206298828,-281.63446044921875,2.7735164216112658,39,12,0,114
371,83.12568664550781,71.25271606445312,-283.5618591308594,2.8242896094916077,39,12,0,114
372,80.09120178222656,72.87715911865234,-286.01202392578125,2.574739368557746,39,14,0,116
373,78.06124114990234,74.40724182128906,-287.7793273925781,2.3811583682440367,39,14,0,116
374,75.7306900024414,75.71752166748047,-289.3277587890625,2.031551740118086,39,14,0,116
375,73.44332122802734,77.2178955078125,-290.7784423828125,1.7504067789273223,39,14,0,116
376,71.53608703613281,79.12410736083984,-292.3177185058594,1.461632336503246,39,14,0,116
377,69.70879364013672,81.0562973022461,-293.926025390625,1.4850788202810943,39,14,0,116
378,67.89979553222656,83.00396728515625,-295.5314025878906,1.5084410143079265,39,14,0,116
379,66.05521392822266,84.92217254638672,-297.1442565917969,1.5006372842444027,39,14,0,116
380,91.1387939453125,65.5658187866211,-276.468994140625,2.797108770633847,40,12,0,117
381,91.91170501708984,68.5900650024414,-276.5531005859375,2.706378136707513,40,12,0,117
382,93.04037475585938,71.50039672851562,-276.5243835449219,2.68005844867899,40,12,0,117
383,94.21208953857422,74.39994812011719,-276.5080261230469,2.692260855948584,40,12,0,117
384,95.3926010131836,77.29601287841797,-276.3930358886719,2.6834151005215365,40,12,0,117
385,97.49591064453125,51.97440719604492,-272.04168701171875,3.2994852503937255,41,10,0,118
386,99.43902587890625,51.043601989746094,-274.1898498535156,2.599599915979,41,10,0,118
387,100.79862976074219,50.23239517211914,-276.7883605957031,2.163341190397273,41,10,0,118
388,101.72905731201172,49.89945983886719,-279.6364440917969,2.0287846459537846,41,10,0,118
389,101.33958435058594,49.07920455932617,-281.83026123046875,1.936863580706355,41,12,0,120
390,100.12200164794922,47.703857421875,-284.58648681640625,1.8466368571557599,41,12,0,120
391,98.54200744628906,46.28020095825195,-287.1363830566406,1.839620969146531,41,12,0,120
392,96.96236419677734,44.86034393310547,-289.69415283203125,1.8370496047431937,41,12,0,120
393,93.60851287841797,56.235801696777344,-276.1077575683594,3.6889680098966324,42,10,0,121
394,94.3349609375,57.81081771850586,-279.3681945800781,3.0874098220183064,42,10,0,121
395,94.76113891601562,59.71371078491211,-282.4613037109375,3.120360361562606,42,10,0,121
396,95.28004455566406,59.88570785522461,-285.6594543457031,3.3389274266584423,42,12,0,123
397,95.71682739257812,60.41445541381836,-289.6100158691406,3.279472732582634,42,12,0,123
398,96.15471649169922,61.41062927246094,-293.4391174316406,2.8706720336231024,42,12,0,123
399,95.89984130859375,63.659263610839844,-295.60357666015625,2.3035099655016236,42,14,0,125
400,95.39631652832031,66.00691986083984,-297.6316833496094,2.2534774466361065,42,14,0,125
401,95.06600952148438,68.21560668945312,-299.8407287597656,2.494510066444176,42,14,0,125
402,95.05209350585938,70.25582885742188,-302.23284912109375,2.5407969973895224,42,14,0,125
403,95.22514343261719,72.31449890136719,-304.5428466796875,2.3660041539900685,42,14,0,125
404,96.52603149414062,73.45259857177734,-306.4932861328125,2.331626032081827,42,16,0,127
405,97.72037506103516,74.92832946777344,-309.1984558105469,2.0604655745134686,42,16,0,127
406,98.93936920166016,76.6983642578125,-311.718994140625,1.9557437260472725,42,16,0,127
407,100.28336334228516,78.54888153076172,-314.1090087890625,1.9857914722144823,42,16,0,127
408,101.54156494140625,80.35811614990234,-316.5937805175781,1.9743537069895878,42,16,0,127
409,95.0556640625,62.93756103515625,-283.86151123046875,3.0511103968303837,43,12,0,128
410,97.58029174804688,67.79029846191406,-285.3031005859375,2.5226308182664217,43,12,0,128
411,99.89945983886719,69.07450866699219,-285.78466796875,2.262121809398722,43,14,0,130
412,102.79603576660156,70.45610809326172,-286.12908935546875,2.3131797886998346,43,14,0,130
413,105.33061218261719,72.3326416015625,-286.806640625,2.4389867429860086,43,14,0,130
414,107.88583374023438,74.23617553710938,-287.3236999511719,2.39751605474543,43,14,0,130
415,110.50027465820312,76.00497436523438,-287.9242858886719,2.4216581954590706,43,14,0,130
416,113.10044860839844,77.76240539550781,-288.6888427734375,2.402400764907315,43,14,0,130
417,97.18094635009766,60.92789077758789,-296.2748718261719,2.681270604512922,44,14,0,131
418,98.12930297851562,60.450531005859375,-299.480712890625,2.692202781502613,44,14,0,131
419,97.88764190673828,60.405906677246094,-302.82403564453125,2.335797292909424,44,14,0,131
420,97.44880676269531,60.72397994995117,-306.15533447265625,2.3172655864776543,44,14,0,131
421,97.09349822998047,60.97726058959961,-309.5060729980469,2.50957881547058,44,14,0,131
422,96.97273254394531,61.19513702392578,-312.8404541015625,2.4724218699783487,44,14,0,131
423,96.9919662475586,59.5531005859375,-315.0057373046875,2.0003902735232386,44,16,0,133
424,96.67625427246094,57.30060577392578,-317.3673095703125,2.0411773030747487,44,16,0,133
425,95.74122619628906,55.616416931152344,-320.04083251953125,1.9625737203632567,44,16,0,133
426,94.79792022705078,54.6240234375,-323.03582763671875,2.03760383041898,44,16,0,133
427,94.01396942138672,53.95679473876953,-326.1678161621094,2.0613946973219717,44,16,0,133
428,93.18746948242188,53.28328323364258,-329.29327392578125,2.081717888094172,44,16,0,133
429,103.32299041748047,50.2008056640625,-281.0125732421875,2.0642913861465892,45,12,0,134
430,106.81472778320312,50.73283386230469,-282.5635070800781,1.7316747287346037,45,12,0,134
431,110.11201477050781,51.29037857055664,-284.4737243652344,1.492485757598515,45,12,0,134
432,92.03266143798828,47.20682907104492,-266.63592529296875,2.993607893564119,46,8,0,135
433,89.81246948242188,46.94367980957031,-269.4670104980469,2.285284213669775,46,8,0,135
434,87.37763214111328,47.564754486083984,-272.0367126464844,1.9951620886482146,46,8,0,135
435,85.10381317138672,48.50897979736328,-274.69879150390625,1.648525937541554,46,8,0,135
436,83.16947937011719,49.02284240722656,-277.6673583984375,1.8564623672230112,46,8,0,135
437,82.38589477539062,49.990570068359375,-279.0583801269531,1.7982212531789976,46,10,0,137
438,80.76093292236328,51.499107360839844,-281.7515869140625,1.6281733430786076,46,10,0,137
439,79.16632080078125,52.42380142211914,-284.7295837402344,1.6573296180862707,46,10,0,137
440,77.7257080078125,53.50497817993164,-287.7351379394531,1.7021336802528284,46,10,0,137
441,76.29206848144531,54.59104919433594,-290.7474365234375,1.6839633434137096,46,10,0,137
442,96.74395751953125,62.2337646484375,-315.2344055175781,2.147281272005689,47,16,0,138
443,96.50506591796875,63.69711685180664,-318.4640197753906,1.947299634805572,47,16,0,138
444,96.19722747802734,65.12628173828125,-321.70135498046875,1.9049051731420779,47,16,0,138
445,95.98050689697266,66.41284942626953,-324.9984436035156,1.9245854934195312,47,16,0,138
446,95.69249725341797,67.63558197021484,-328.32525634765625,1.9238939868958336,47,16,0,138
447,94.05841827392578,73.95337677001953,-306.119384765625,2.2013279787957707,48,16,0,139
448,92.85916900634766,76.09294891357422,-308.39044189453125,1.8252524995714714,48,16,0,139
449,91.74053955078125,78.50807189941406,-310.4267883300781,1.7076724639626395,48,16,0,139
450,90.52924346923828,80.79139709472656,-312.56854248046875,1.6977018571699949,48,16,0,139
451,89.34644317626953,83.05802917480469,-314.7466125488281,1.7059801224477789,48,16,0,139
452,81.79643249511719,75.06130981445312,-285.874267578125,2.532643084325941,49,14,0,141
453,80.48365020751953,77.79882049560547,-287.51275634765625,2.473629716433022,49,14,0,141
454,78.93553161621094,80.30420684814453,-289.2983093261719,1.787515924876307,49,14,0,141
455,77.87108612060547,82.85653686523438,-291.3218994140625,1.675257676802626,49,14,0,141
456,76.91361999511719,85.37499237060547,-293.4783630371094,1.6729488420205991,49,14,0,141
457,75.92070007324219,87.82400512695312,-295.7110900878906,1.665062224057937,49,14,0,141
458,97.34033966064453,70.17790222167969,-286.5084533691406,2.3169362333581676,50,14,0,142
459,97.06897735595703,73.11209106445312,-288.4338073730469,2.2371322369281947,50,14,0,142
460,96.61678314208984,75.94529724121094,-290.4739685058594,2.2145553775433355,50,14,0,142
461,96.15473175048828,78.8426513671875,-292.3981018066406,2.163505000636447,50,14,0,142
462,95.83243560791016,81.63053894042969,-294.5097351074219,2.1808668489408247,50,14,0,142
