generation,tubes,length,diameter,branching_angle,gravity_angle,cross_section,volume,cumulative_volume
1,1,10,2.01,,,3.17,31.73,
2,1,3.09,1.75,,,2.41,7.43,
3,1,3.02,1.33,,,1.39,4.2,
4,1,0.88,1.01,,,0.8,0.71,
5,2,1.09,0.8,,,1.01,1.1,
6,4,1.33,0.65,,,1.33,0.86,
7,8,1.22,0.583,,,2.14,2.61,
8,16,0.796,0.471,,,2.79,2.22,
9,32,0.803,0.367,,,3.39,2.72,
10,64,0.88,0.347,,,6.05,5.33,
11,128,0.9,0.317,,,10.1,9.09,
12,256,0.591,0.249,,,12.47,7.37,
13,512,0.449,0.181,,,13.17,5.92,
14,1024,0.337,0.134,,,14.44,4.87,
15,2048,0.257,0.101,,,16.41,4.22,
16,4096,0.222,0.077,,,19.07,4.23,
17,8192,0.158,0.066,,,28.04,4.43,
18,16384,0.131,0.058,,,43.29,5.67,
19,32768,0.11,0.054,,,75.05,8.26,
20,65536,0.094,0.051,,,133.88,12.58,
21,131072,0.082,0.048,,,237.18,19.45,
22,262144,0.072,0.046,,,435.66,31.37,
23,524288,0.064,0.045,,,833.84,53.37,
24,1048576,0.058,0.044,,,1594.39,92.47,
25,2.10E+06,0.053,0.043,,,3045.49,161.41,
26,9.23E+07,0.025,0.03,,,,1191.22,